@relation Airport-weka.filters.unsupervised.attribute.Remove-R4

@attribute Numerical_1 numeric
@attribute Numerical_2 numeric
@attribute Country{EU,AL,AT,AX,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SJ,SK,TR,UA,XK,AS,AE,AF,AM,AZ,BD,BH,BN,BT,CC,CN,CX,CY,GE,HK,ID,IL,IN,IO,IQ,IR,JO,JP,KG,KH,KP,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MY,NP,OM,PH,PK,PS,QA,SA,SG,SY,TH,TJ,TL,TM,TW,UZ,VN,YE,NAC,AG,AI,AW,BB,BL,BS,BQ,BZ,CA,CR,CU,DM,DO,GD,GL,GP,GT,HN,HT,JM,KN,KY,LC,MF,MQ,MS,MX,NI,PA,PR,SV,TC,TT,US,VC,VG,VI,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,EH,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SD,SH,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,ZA,ZM,ZW,AN,AQ,GS,SAC,AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE,OC,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PW,SB,TO,TV,UM,VU,WF,WS,UKNC,UKN}
@attribute Altitude numeric
@attribute Timezone numeric
@attribute DST {U,E,N,A,S,O,Z}

@data
47.859117,10.014572,DE,2099,1,E
47.671317,9.511486,DE,1367,1,E
53.426997,11.783436,DE,166,1,E
52.627778,11.818333,DE,184,1,E
48.777833,10.264667,DE,1916,1,E
49.984428,11.638569,DE,1601,1,E
49.793833,11.133167,DE,1674,1,E
50.288836,11.854919,DE,1960,1,E
50.018,10.5295,DE,718,1,E
50.3255,7.528667,DE,640,1,E
49.8635,6.788167,DE,665,1,E
49.302776,8.451195,DE,312,1,E
49.209525,7.400647,DE,1133,1,E
47.973331,8.522223,DE,2231,1,E
48.022653,7.832583,DE,799,1,E
48.053833,9.372833,DE,1820,1,E
49.118317,9.783956,DE,1311,1,E
51.6075,13.738,DE,399,1,E
52.319167,10.556111,DE,295,1,E
51.408394,9.377631,DE,908,1,E
52.179833,9.945667,DE,293,1,E
53.507081,8.572878,DE,11,1,E
53.391186,7.227408,DE,2,1,E
53.271592,7.442344,DE,3,1,E
53.504833,8.053333,DE,16,1,E
53.5955,6.709167,DE,3,1,E
53.706822,7.230247,UKN,6,1,E
54.771772,9.378214,DE,130,1,E
54.220928,9.600803,DE,23,1,E
54.91325,8.340472,DE,51,1,E
59.260286,24.208467,EE,65,2,E
58.990756,22.830733,EE,18,2,E
58.229883,22.509494,EE,14,2,E
58.419044,24.472819,EE,47,2,E
59.413317,24.832844,EE,131,2,E
58.307461,26.690428,EE,219,2,E
68.362586,23.424322,FI,1005,2,E
61.116112,22.201389,FI,259,2,E
61.85605,24.7866,FI,479,2,E
60.254558,25.042828,FI,57,2,E
60.317222,24.963333,FI,179,2,E
61.689656,23.073744,FI,449,2,E
59.848864,23.083583,FI,20,2,E
60.654444,24.881111,FI,430,2,E
60.462502,23.6525,FI,381,2,E
